Id,SalePrice
1461,112737.15554495901
1462,161120.66940069804
1463,189486.23117956566
1464,196017.9073283733
1465,201480.11246994208
1466,172330.6563740829
1467,180275.72879657382
1468,159560.8646279252
1469,204223.21380693885
1470,115069.81700775772
1471,164046.56381192175
1472,96275.82403060328
1473,95308.4724851778
1474,144748.7883898276
1475,108301.49286737572
1476,376392.568117343
1477,258822.89153897658
1478,310433.71000628185
1479,303473.088529891
1480,478638.2675342079
1481,311886.2440851658
1482,203923.8332401421
1483,178004.85837809532
1484,160537.43664188054
1485,177808.25043664838
1486,189428.7458396313
1487,333523.456611595
1488,224316.14389286353
1489,204791.03740992968
1490,259235.0443732168
1491,199516.3000659875
1492,99310.54917706933
1493,196922.48365481698
1494,312468.09463287273
1495,289364.10299631685
1496,246561.43200853327
1497,176155.0459137524
1498,172926.01825523924
1499,163415.3622137654
1500,147653.27463666105
1501,194502.18837145122
1502,132152.72118355916
1503,359603.80890299997
1504,232883.098241091
1505,225809.53215635382
1506,188274.82066660305
1507,259767.68164991913
1508,195911.50456061075
1509,153759.6655609922
1510,141935.06234491896
1511,159662.5902723202
1512,180040.42699035956
1513,151211.3047569627
1514,167042.55537568685
1515,216012.61599063943
1516,157901.4354277593
1517,183680.42153306725
1518,122983.5816005515
1519,217893.66735692346
1520,126957.30330462358
1521,135668.91050237278
1522,186926.85327248788
1523,113677.33588156104
1524,125687.72159424343
1525,120846.8728299865
1526,110647.94340503274
1527,108347.3887171835
1528,132234.7022636138
1529,156972.501213187
1530,203510.4353912553
1531,120366.62125786801
1532,88049.47667379456
1533,158173.85450702568
1534,127342.92624615424
1535,152878.3961482459
1536,93051.61629529449
1537,49849.17861476506
1538,149562.46178280353
1539,209464.03973038273
1540,124342.37480201048
1541,139147.66457783326
1542,160714.7431079183
1543,186665.49733071995
1544,72755.4137771537
1545,117102.9601754155
1546,133882.1942149502
1547,132900.2326931886
1548,148027.93377416232
1549,123951.8035789486
1550,142293.17854112328
1551,104903.38355376117
1552,158190.35367776186
1553,149851.571075181
1554,119235.78239730827
1555,161198.67238764395
1556,53601.06151125813
1557,137472.73709848593
1558,103517.00506982545
1559,60429.622398464126
1560,119949.58080419153
1561,151247.42873271345
1562,127531.74536592222
1563,129979.52973565517
1564,160737.47295392514
1565,155487.80570337316
1566,226667.80326190125
1567,73416.61202917912
1568,220845.41420821263
1569,131498.02852301276
1570,129772.3187005173
1571,87948.72730231367
1572,151547.2791611054
1573,268246.939242995
1574,137087.53578333522
1575,229017.4959951468
1576,227756.27296222642
1577,180287.93871147954
1578,156197.26963511377
1579,149242.60079743213
1580,190018.4237965874
1581,152183.57350990665
1582,132940.39443140093
1583,279959.87588763435
1584,220835.02499753283
1585,134142.73942182073
1586,66995.02698763146
1587,109247.83816549287
1588,154589.55600267625
1589,106222.37218714156
1590,128374.88994114322
1591,88249.32179523609
1592,132036.12655081798
1593,126336.0353617362
1594,134640.55889209954
1595,117630.93554177112
1596,226748.3857640426
1597,208719.22600572289
1598,211167.78692592762
1599,184839.39254800812
1600,163988.15932932682
1601,54395.64295064611
1602,123736.88294930686
1603,45285.121392206405
1604,274623.03298427153
1605,224255.42745177983
1606,154700.4820235644
1607,166134.5602457904
1608,198187.3340449303
1609,188986.84378753125
1610,152150.6696053486
1611,125125.26891731028
1612,186636.4993709093
1613,166303.01022766717
1614,129692.57948149834
1615,91171.56280725636
1616,67802.58037991053
1617,84161.8782561142
